# generated 2026-08-17 17:24:01 +0800 by paper_tables.py (l1-paper-tables-1)
# dedup rule applied to the hosted raw logs before evaluation: last row per (mode, thinking, repeat, item_id); hosted logs only
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e1_eval_qwen14b/summary.json sha256 793c76b07b492ef0fd70878913b6c90449fa7d884edd530817eaf98c1c51c1c8
# /home/ziheng/PaperL1/results/e1_eval_qwen27b/summary.json sha256 78745e80ca0550e27d754b70e2e8f8bd7d33a6ba11b419852ec4c05a9c5a57d5
# /home/ziheng/PaperL1/results/e1_eval_glm9b/summary.json sha256 bb806173f35bcd5013b1a9b77223f0d2e16346375670a6dca65dbb8859099724
# /home/ziheng/PaperL1/results/e1_eval_gpt54mini/summary.json sha256 5da1e6beba8ac75283ee1e5f9352c2fff80eb08fe74f590e551b35b5364fa028
# /home/ziheng/PaperL1/results/e1_eval_deepseek/summary.json sha256 574ebad8772fe47ec758487469231be95f2e457399fa619ad553b571dc8ee8f9
# /home/ziheng/PaperL1/results/e1_eval_sonnet5/summary.json sha256 e50203a3a4474af675a4ed1e397c52ecd1f1b057502f21987d01ec6e8878e4f6
# /home/ziheng/PaperL1/results/e1_eval_opus5/summary.json sha256 d1ab21e2a71280e44d8eed9feda0f8031e4c3160d17fd995414d6a1398ae4f15
# /home/ziheng/PaperL1/results/e1_eval_sol/summary.json sha256 fa3ae6264fcdfbd3b311ad59a8ed88bc8540176adea8b4b043b2fecf5086379d
# /home/ziheng/PaperL1/results/e2_tau_sweep/curves.csv sha256 e9ca179c57029c6ae23d0512f12da901884072192c96addff321de94bf04fc76
# rows are the accepted record; every overlapping cell is asserted equal to it
step,step_meaning,arm,model,mode,scope,items,share_applied_with_certificate,share_applied_uncertified,share_referred_to_human,share_blocked_correctly,share_blocked_falsely,share_execution_failed,share_unhandled,share_model_refused,violation_pass_through,violation_pass_through_nonempty,violation_pass_through_strict,violation_pass_through_strict_nonempty,violation_pass_through_fault,certified_gap_median,warranted_outcome_rate,wwt_original_mean_bh,wwt_original_median_bh,wwt_original_max_bh,wwt_original_vs_rule_bh,wwt_original_median_vs_rule_bh
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free / -,oracle_domain,3000,,0.938667,,,,0.061333,,,0.933333,0.000000,0.933333,0.000000,0.933333,0.010894,0.000000,692.3810,567.9288,2859.5096,0.3233,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free / -,benign,2400,,0.940000,,,,0.060000,,,,,,,,0.010113,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained / -,full_suite,6000,,0.873667,,0.125333,0.001000,,,,0.791111,0.676667,0.666667,0.552222,0.528333,0.016342,0.125333,744.4486,619.2284,5840.1408,52.3910,51.2996
4. G-FEAS,the field's standard guard: schema and feasibility gate,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained / -,oracle_domain,3000,,0.992000,,0.006000,0.002000,,,,0.970000,0.428333,0.970000,0.428333,0.970000,0.010894,0.006000,706.4297,567.9288,5243.6480,14.3720,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained / -,benign,2400,,0.997500,,,0.002500,,,,,,,,,0.010894,0.000000,699.2320,567.9288,5243.6480,7.1743,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free / -,full_suite,6000,,0.077000,,0.525833,0.397167,,,,0.123611,0.010000,0.123611,0.010000,0.110278,0.012309,0.525833,692.0577,567.9288,2859.5096,0.0000,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free / -,oracle_domain,3000,,0.113667,,0.092000,0.794333,,,,0.540000,0.000000,0.540000,0.000000,0.540000,0.016342,0.092000,692.3810,567.9288,2859.5096,0.3233,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free / -,benign,2400,,0.007083,,,0.992917,,,,,,,,,0.042639,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained / -,full_suite,6000,0.747167,,,0.235333,0.017500,,,,0.607778,0.500000,0.485833,0.378056,0.360833,0.010113,0.982500,691.9907,567.9288,2859.5096,-0.0670,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained / -,oracle_domain,3000,0.951000,,,0.014000,0.035000,,,,0.930000,0.418333,0.930000,0.418333,0.930000,0.010113,0.965000,691.5513,567.9288,2859.5096,-0.5064,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained / -,benign,2400,0.956250,,,,0.043750,,,,,,,,,0.010113,0.956250,680.8718,567.9288,2859.5096,-11.1859,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free / -,full_suite,6000,0.073000,,,0.529833,0.397167,,,,0.116944,0.010000,0.116944,0.010000,0.103611,0.010894,0.602833,692.0577,567.9288,2859.5096,0.0000,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free / -,oracle_domain,3000,0.107667,,,0.098000,0.794333,,,,0.510000,0.000000,0.510000,0.000000,0.510000,0.012309,0.205667,692.3810,567.9288,2859.5096,0.3233,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free / -,benign,2400,0.007083,,,,0.992917,,,,,,,,,0.042639,0.007083,682.6878,567.9288,2859.5096,-9.3699,0.0000
6. SINGLE+G,one tool-equipped model behind G-CERT,qwen3-14b,"Qwen3-14B (open, local, BF16)",pending E3,-,,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3
7. MULTI,"MASC-style role pipeline, guarded and unguarded",qwen3-14b,"Qwen3-14B (open, local, BF16)",pending E3,-,,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / -,full_suite,6000,,0.885167,,,,0.114833,,,0.827778,0.653333,0.660556,0.486111,0.560278,0.016342,0.000000,1734.6098,619.2284,1000480.2231,1042.5521,51.2996
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / -,oracle_domain,3000,,0.976000,,,,0.024000,,,0.995000,0.311667,0.995000,0.311667,0.995000,0.010113,0.000000,692.0102,567.9288,2859.5096,-0.0475,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / -,benign,2400,,0.971250,,,,0.028750,,,,,,,,0.010113,0.000000,681.2380,567.9288,2859.5096,-10.8196,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free / -,full_suite,6000,,1.000000,,,,,,,1.000000,0.009167,1.000000,0.009167,0.650000,0.010113,0.000000,692.0577,567.9288,2859.5096,0.0000,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free / -,oracle_domain,3000,,1.000000,,,,,,,1.000000,0.000000,1.000000,0.000000,1.000000,0.010113,0.000000,692.3810,567.9288,2859.5096,0.3233,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free / -,benign,2400,,1.000000,,,,,,,,,,,,0.010113,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / -,full_suite,6000,,0.869833,,0.118667,0.011500,,,,0.802222,0.627778,0.635000,0.460556,0.534722,0.016342,0.118667,727.6542,619.2284,3987.3928,35.5965,51.2996
4. G-FEAS,the field's standard guard: schema and feasibility gate,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / -,oracle_domain,3000,,0.976000,,0.001000,0.023000,,,,0.995000,0.311667,0.995000,0.311667,0.995000,0.010113,0.001000,692.0102,567.9288,2859.5096,-0.0475,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / -,benign,2400,,0.971250,,,0.028750,,,,,,,,,0.010113,0.000000,681.2380,567.9288,2859.5096,-10.8196,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free / -,full_suite,6000,,0.107000,,0.493000,0.400000,,,,0.178333,0.009167,0.178333,0.009167,0.162500,0.010894,0.493000,692.0577,567.9288,2859.5096,0.0000,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free / -,oracle_domain,3000,,0.130000,,0.070000,0.800000,,,,0.650000,0.000000,0.650000,0.000000,0.650000,0.012309,0.070000,692.3810,567.9288,2859.5096,0.3233,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free / -,benign,2400,,,,,1.000000,,,,,,,,,,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / -,full_suite,6000,0.752167,,,0.225833,0.022000,,,,0.623611,0.455833,0.460556,0.292778,0.364444,0.010113,0.978000,691.9272,567.9288,2859.5096,-0.1305,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / -,oracle_domain,3000,0.948000,,,0.008000,0.044000,,,,0.960000,0.306667,0.960000,0.306667,0.960000,0.010113,0.956000,692.0170,567.9288,2859.5096,-0.0407,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / -,benign,2400,0.945000,,,,0.055000,,,,,,,,,0.008896,0.945000,681.2465,567.9288,2859.5096,-10.8111,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free / -,full_suite,6000,0.103500,,,0.496500,0.400000,,,,0.172500,0.009167,0.172500,0.009167,0.156667,0.010894,0.600000,692.0577,567.9288,2859.5096,0.0000,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free / -,oracle_domain,3000,0.125000,,,0.075000,0.800000,,,,0.625000,0.000000,0.625000,0.000000,0.625000,0.012309,0.200000,692.3810,567.9288,2859.5096,0.3233,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free / -,benign,2400,,,,,1.000000,,,,,,,,,,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
6. SINGLE+G,one tool-equipped model behind G-CERT,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",pending E3,-,,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3
7. MULTI,"MASC-style role pipeline, guarded and unguarded",qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",pending E3,-,,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained / -,full_suite,2000,,0.855500,,,,0.144500,,,0.790833,0.767500,0.690833,0.667500,0.553333,0.013579,0.000000,731.3574,619.2284,3634.6472,39.2997,51.2996
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained / -,oracle_domain,1000,,0.930000,,,,0.070000,,,0.840000,0.720000,0.840000,0.720000,0.840000,0.010113,0.000000,695.8472,567.9288,2994.4040,3.7896,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained / -,benign,800,,0.952500,,,,0.047500,,,,,,,,0.010113,0.000000,682.9810,567.9288,2994.4040,-9.0767,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free / -,full_suite,2000,,0.994500,,,,0.005500,,,0.994167,0.000000,0.994167,0.000000,0.648333,0.010113,0.000000,692.0577,567.9288,2859.5096,0.0000,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free / -,oracle_domain,1000,,0.996000,,,,0.004000,,,1.000000,0.000000,1.000000,0.000000,1.000000,0.010113,0.000000,692.3810,567.9288,2859.5096,0.3233,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free / -,benign,800,,0.995000,,,,0.005000,,,,,,,,0.010113,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained / -,full_suite,2000,,0.817500,,0.161000,0.021500,,,,0.731667,0.708333,0.631667,0.608333,0.495833,0.013579,0.161000,727.7792,619.2284,3634.6472,35.7215,51.2996
4. G-FEAS,the field's standard guard: schema and feasibility gate,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained / -,oracle_domain,1000,,0.925000,,0.032000,0.043000,,,,0.840000,0.720000,0.840000,0.720000,0.840000,0.010113,0.032000,695.8472,567.9288,2994.4040,3.7896,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained / -,benign,800,,0.946250,,,0.053750,,,,,,,,,0.010113,0.000000,682.9810,567.9288,2994.4040,-9.0767,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free / -,full_suite,2000,,,,0.600000,0.400000,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.600000,692.0577,567.9288,2859.5096,0.0000,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free / -,oracle_domain,1000,,,,0.200000,0.800000,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.200000,692.3810,567.9288,2859.5096,0.3233,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free / -,benign,800,,,,,1.000000,,,,,,,,,,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained / -,full_suite,2000,0.713500,,,0.254500,0.032000,,,,0.575833,0.554167,0.480000,0.458333,0.351667,0.010113,0.968000,696.2698,573.4680,3040.0112,4.2121,5.5392
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained / -,oracle_domain,1000,0.897000,,,0.039000,0.064000,,,,0.805000,0.695000,0.805000,0.695000,0.805000,0.010113,0.936000,694.0034,567.9288,2994.4040,1.9458,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained / -,benign,800,0.920000,,,,0.080000,,,,,,,,,0.009282,0.920000,682.7344,567.9288,2994.4040,-9.3233,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free / -,full_suite,2000,,,,0.600000,0.400000,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.600000,692.0577,567.9288,2859.5096,0.0000,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free / -,oracle_domain,1000,,,,0.200000,0.800000,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.200000,692.3810,567.9288,2859.5096,0.3233,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free / -,benign,800,,,,,1.000000,,,,,,,,,,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
6. SINGLE+G,one tool-equipped model behind G-CERT,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",pending E3,-,,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3
7. MULTI,"MASC-style role pipeline, guarded and unguarded",glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",pending E3,-,,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / -,full_suite,4000,,0.877000,,,,0.123000,,,0.803333,0.743750,0.647917,0.588333,0.537917,0.013713,0.000000,1228.5391,619.2284,1000481.2231,536.4814,51.2996
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / -,oracle_domain,2000,,0.962500,,,,0.037500,,,0.862500,0.650000,0.862500,0.650000,0.862500,0.010790,0.000000,692.4273,567.9288,2859.5448,0.3696,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / -,benign,1600,,0.987500,,,,0.012500,,,,,,,,0.010113,0.000000,681.2468,567.9288,2859.5448,-10.8109,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",openai,"GPT-5.4-mini (closed, budget tier)",M_free / -,full_suite,4000,,0.999500,,,,0.000500,,,0.999167,0.005000,0.998333,0.004167,0.650833,0.010113,0.000000,692.0588,567.9288,2859.5096,0.0011,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",openai,"GPT-5.4-mini (closed, budget tier)",M_free / -,oracle_domain,2000,,1.000000,,,,,,,1.000000,0.000000,1.000000,0.000000,1.000000,0.010113,0.000000,692.3810,567.9288,2859.5096,0.3233,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",openai,"GPT-5.4-mini (closed, budget tier)",M_free / -,benign,1600,,1.000000,,,,,,,,,,,,0.010113,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / -,full_suite,4000,,0.859000,,0.136000,0.005000,,,,0.773333,0.713750,0.617917,0.558333,0.507917,0.013579,0.136000,724.9418,619.2284,3634.6472,32.8841,51.2996
4. G-FEAS,the field's standard guard: schema and feasibility gate,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / -,oracle_domain,2000,,0.962500,,0.027500,0.010000,,,,0.862500,0.650000,0.862500,0.650000,0.862500,0.010790,0.027500,692.4273,567.9288,2859.5448,0.3696,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / -,benign,1600,,0.987500,,,0.012500,,,,,,,,,0.010113,0.000000,681.2468,567.9288,2859.5448,-10.8109,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,openai,"GPT-5.4-mini (closed, budget tier)",M_free / -,full_suite,4000,,0.048750,,0.553250,0.398000,,,,0.077917,0.005000,0.077083,0.004167,0.064167,0.017038,0.553250,692.0588,567.9288,2859.5096,0.0011,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,openai,"GPT-5.4-mini (closed, budget tier)",M_free / -,oracle_domain,2000,,0.063000,,0.141000,0.796000,,,,0.295000,0.000000,0.295000,0.000000,0.295000,0.017038,0.141000,692.3810,567.9288,2859.5096,0.3233,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,openai,"GPT-5.4-mini (closed, budget tier)",M_free / -,benign,1600,,0.005000,,,0.995000,,,,,,,,,0.003614,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / -,full_suite,4000,0.749500,,,0.235000,0.015500,,,,0.608333,0.551250,0.457917,0.400833,0.351667,0.010113,0.984500,691.6637,567.9288,2859.5448,-0.3940,0.0000
