# generated 2026-08-17 17:34:15 +0800 by code/scripts/e1_intervals.py (l1-dg5-intervals-1)
# DG5: cluster-bootstrap 95% intervals on the E1 headline rates.
# scope: mode M_constrained, repeats pooled, cells are (arm, thinking).
# estimator: nonparametric cluster bootstrap of a pooled ratio; clusters resampled with replacement, each contributing all its rows; B=20000 replicates, seed=20260814, 2.5/97.5 percentile.
# wilson_*: Wilson score interval on the ROW count (the naive interval that assumes rows are independent).
# deff_width = (cluster CI width / Wilson CI width)^2; deff_lin = (linearised cluster-robust SE / sqrt(p(1-p)/n))^2; deff_boot = (bootstrap SE / sqrt(p(1-p)/n))^2.
# metric definitions taken from code/scripts/e1_evaluate.py (Analysis.separation, Analysis.blocks) and code/scripts/e3_replay.py (violation pass-through).  Zero rows carry an infra_error finding, so the eligibility filter removes nothing on these logs.
# capability_set follows manuscript/macros.tex: the DeepSeek cells are outside it and are reported for completeness only.
# results/e1_eval_qwen14b/verdicts_G_CERT.jsonl sha256 007f9b7e128b9b40a1c8a6f20e1d7bf0688e7597c9ccf802b3d4603e11d5ff82
# results/e1_eval_qwen14b/verdicts_G_FEAS.jsonl sha256 2e35dedecb9363433618b26c6f0d75f596ce88b931e35443661048d2a8823e23
# results/e1_eval_qwen14b/proposals.jsonl sha256 1275be52a6a9e7cc36ebcc8c6f193b81a6c84e97671932fdf534e2b7a1c9dd47
# results/e1_eval_qwen27b/verdicts_G_CERT.jsonl sha256 34f6a4c8b2b26b38a69a21c1a22d0d0ee7715b2d15a095399aa505c279377d10
# results/e1_eval_qwen27b/verdicts_G_FEAS.jsonl sha256 5741e6c174e36e8d04a366fd648a051ccb6bf6a4ecfa182382cf43ba3f5b1d75
# results/e1_eval_qwen27b/proposals.jsonl sha256 7d930c7633af776c55abe93c72a33e6132cd9eccdc22d0543ade32f1ec63811d
# results/e1_eval_glm9b/verdicts_G_CERT.jsonl sha256 357ff6582097bd5c6656c14e6c47a6c85b5cb2c699e2206d1f8722ff1f0e6ed4
# results/e1_eval_glm9b/verdicts_G_FEAS.jsonl sha256 c6aa59cb041ee235084646d185760383d6d81d979876146af42f136a3694633c
# results/e1_eval_glm9b/proposals.jsonl sha256 94f9457a32e8776c6f403f4f619b2c96ce1d96bc3c2d1cb8118c1a2808c260bb
# results/e1_eval_gpt54mini/verdicts_G_CERT.jsonl sha256 ab58fe9be34e97572208247ee13fbf9710af6b14f5b0004390faeb4031f1a78d
# results/e1_eval_gpt54mini/verdicts_G_FEAS.jsonl sha256 0b54b9a910824885ff330ca5afab191320b01091f6e140d1edeacb395aed092c
# results/e1_eval_gpt54mini/proposals.jsonl sha256 cbfcbd608fa2b03fa878089bda35dc2e8491307e7ab5c7bea0f6576e28b9a9cd
# results/e1_eval_deepseek/verdicts_G_CERT.jsonl sha256 5c03ca0b5ae739bd89388dcbcc7226c27e93384508e134dfb2afa6fb7f431208
# results/e1_eval_deepseek/verdicts_G_FEAS.jsonl sha256 418eaa3f06de2f41b6c525222e4b165a06c58cfe3302081ed11375e28682e689
# results/e1_eval_deepseek/proposals.jsonl sha256 1e6cef4120af866d8b02898d9b2dc46b457c4b5b3649b7bed5c02bbaddc58407
# results/e1_eval_sonnet5/verdicts_G_CERT.jsonl sha256 87d3ebaefefe7b70915a861cc2f61dd3fb5e7e08df5f83756cf78ce5aa8f102c
# results/e1_eval_sonnet5/verdicts_G_FEAS.jsonl sha256 4b25bfa946e1f6a8e56f627b84148f858ce6b2e0dd0e2716fb18d3bbbd257d7c
# results/e1_eval_sonnet5/proposals.jsonl sha256 0a1387c342b1b9d551ab114ae13c9bf87871c27f7476fd96eecc5e5a1df3f94c
# results/e1_eval_opus5/verdicts_G_CERT.jsonl sha256 2c4a3d99410ce0bc38a8c230ffa3770f8f1fc20d514c732abf4d53d898f77744
# results/e1_eval_opus5/verdicts_G_FEAS.jsonl sha256 2e3f20d17f1a24f3e167bd443ae1f05f0bf7e9133777f70ada5dccf237124597
# results/e1_eval_opus5/proposals.jsonl sha256 170c6b315c419a23e6f4663ed28849e39b2672d4c08aa529d242e31cfd24d95d
# results/e1_eval_sol/verdicts_G_CERT.jsonl sha256 3a06dbde336b05951afd45cf08f609612a095c7a0d1861f68c447e6c7ab16dab
# results/e1_eval_sol/verdicts_G_FEAS.jsonl sha256 e2436e281abdbd80e0702d221a839dc3f2c23b973d64fc2c507ca08c9a58762c
# results/e1_eval_sol/proposals.jsonl sha256 d1717574dc9365777d11455354cc58be02ed4790f792491442adf80f68344195
# code/suite/v0.2/suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# analysis/T3_guard_value_curve.csv sha256 e9bf87e3856515e779897f6af7306a96ea02ea2f5b06eabf1e86f398a91f6911
# analysis/T1_e1_main.csv sha256 8439dadb9dc81c401eecda7f661f459f54698ab146a7e02408043779dec69b5c
# breakdown columns are 'key:count' pairs joined by '|', ranked descending; hhi_over_instances is the Herfindahl index of the false blocks over instances (1/13 = 0.077 would be a flat spread over the 13 instances that produce any).
arm,thinking,model,capability_set,config,benign_rows,false_blocks,false_block_rate_pct,instances_total,instances_with_any_false_block,top1_instance,top1_false_blocks,top1_share_pct,top2_false_blocks,top2_share_pct,subclasses_with_any_false_block,top_subclass,top_subclass_false_blocks,top_subclass_share_pct,distinct_items_false_blocked,hhi_over_instances,instance_breakdown,subclass_breakdown
deepseek,think_high,"DeepSeek V4-Pro (open weights, hosted)",0,G_CERT,1600,1591,99.4,60,60,c09_storm2_w80_u100_0000,50,3.1,96,6.0,23,reorder_block_tight,140,8.8,797,0.019,c09_storm2_w80_u100_0000:50|c09_storm2_w80_u100_0010:46|c09_storm2_w80_u100_0015:46|c09_storm2_w80_u100_0005:45|c09_storm2_w80_u100_0020:42|c10_replay_400_0020:42|c09_storm2_w80_u100_0001:40|c09_storm2_w80_u100_0006:40|c09_storm2_w80_u100_0011:40|c09_storm2_w80_u100_0016:40|c09_storm2_w80_u100_0022:38|c09_storm2_w80_u100_0002:36|c09_storm2_w80_u100_0007:34|c09_storm2_w80_u100_0012:34|c09_storm2_w80_u100_0017:34|c10_storm2_w80_u100_0000:34|c10_storm2_w80_u100_0004:34|c10_replay_400_0011:34|c10_replay_400_0006:32|c10_replay_400_0001:30|c10_replay_400_0003:28|c10_storm2_w80_u100_0009:28|c09_storm2_w80_u100_0003:26|c10_replay_400_0022:26|c10_storm2_w80_u100_0005:26|c09_storm2_w80_u100_0021:24|c09_storm2_w80_u100_0008:24|c09_storm2_w80_u100_0023:24|c10_replay_400_0007:24|c10_storm2_w80_u100_0008:24|c10_storm2_w80_u100_0001:24|c10_storm2_w80_u100_0002:24|c10_storm2_w80_u100_0007:24|c10_replay_400_0016:23|c09_storm2_w80_u100_0013:22|c09_storm2_w80_u100_0018:22|c09_storm2_w80_u100_0004:22|c09_storm2_w80_u100_0009:22|c10_replay_400_0021:22|c10_storm2_w80_u100_0010:22|c10_storm2_w80_u100_0003:22|c10_storm2_w80_u100_0006:22|c10_storm2_w80_u100_0011:22|c10_replay_400_0005:21|c10_replay_400_0013:20|c10_replay_400_0002:18|c10_replay_400_0012:18|c10_replay_400_0017:18|c10_replay_400_0008:18|c10_replay_400_0023:18|c10_replay_400_0000:18|c09_storm2_w80_u100_0014:16|c09_storm2_w80_u100_0019:16|c10_replay_400_0018:16|c10_replay_400_0010:16|c10_replay_400_0015:16|c10_replay_400_0014:14|c10_replay_400_0004:10|c10_replay_400_0009:10|c10_replay_400_0019:10,reorder_block_tight:140|dangling_order_id:120|reorder_cycle:120|freeze_shift_contradiction:100|reorder_direction_flipped:100|reorder_two_successors:90|window_blocked_predecessor:90|reorder_cross_trade:89|frozen_order_edit:80|sign_flipped_shift:80|objective_shifting:80|out_of_range_shift:60|not_frozen:50|trade_mismatch:50|priority_instead_of_window:50|freeze_instead_of_pin:50|wrong_order_same_building:50|unstaffed_trade:40|dangling_building_id:40|unknown_op:33|reorder_behind_batch_member:30|wrong_building_same_trade:29|enum_invalid_trade:20
deepseek,think_high,"DeepSeek V4-Pro (open weights, hosted)",0,G_FEAS,1600,1591,99.4,60,60,c09_storm2_w80_u100_0000,50,3.1,96,6.0,23,reorder_block_tight,140,8.8,797,0.019,c09_storm2_w80_u100_0000:50|c09_storm2_w80_u100_0010:46|c09_storm2_w80_u100_0015:46|c09_storm2_w80_u100_0005:45|c09_storm2_w80_u100_0020:42|c10_replay_400_0020:42|c09_storm2_w80_u100_0001:40|c09_storm2_w80_u100_0006:40|c09_storm2_w80_u100_0011:40|c09_storm2_w80_u100_0016:40|c09_storm2_w80_u100_0022:38|c09_storm2_w80_u100_0002:36|c09_storm2_w80_u100_0007:34|c09_storm2_w80_u100_0012:34|c09_storm2_w80_u100_0017:34|c10_storm2_w80_u100_0000:34|c10_storm2_w80_u100_0004:34|c10_replay_400_0011:34|c10_replay_400_0006:32|c10_replay_400_0001:30|c10_replay_400_0003:28|c10_storm2_w80_u100_0009:28|c09_storm2_w80_u100_0003:26|c10_replay_400_0022:26|c10_storm2_w80_u100_0005:26|c09_storm2_w80_u100_0021:24|c09_storm2_w80_u100_0008:24|c09_storm2_w80_u100_0023:24|c10_replay_400_0007:24|c10_storm2_w80_u100_0008:24|c10_storm2_w80_u100_0001:24|c10_storm2_w80_u100_0002:24|c10_storm2_w80_u100_0007:24|c10_replay_400_0016:23|c09_storm2_w80_u100_0013:22|c09_storm2_w80_u100_0018:22|c09_storm2_w80_u100_0004:22|c09_storm2_w80_u100_0009:22|c10_replay_400_0021:22|c10_storm2_w80_u100_0010:22|c10_storm2_w80_u100_0003:22|c10_storm2_w80_u100_0006:22|c10_storm2_w80_u100_0011:22|c10_replay_400_0005:21|c10_replay_400_0013:20|c10_replay_400_0002:18|c10_replay_400_0012:18|c10_replay_400_0017:18|c10_replay_400_0008:18|c10_replay_400_0023:18|c10_replay_400_0000:18|c09_storm2_w80_u100_0014:16|c09_storm2_w80_u100_0019:16|c10_replay_400_0018:16|c10_replay_400_0010:16|c10_replay_400_0015:16|c10_replay_400_0014:14|c10_replay_400_0004:10|c10_replay_400_0009:10|c10_replay_400_0019:10,reorder_block_tight:140|dangling_order_id:120|reorder_cycle:120|freeze_shift_contradiction:100|reorder_direction_flipped:100|reorder_two_successors:90|window_blocked_predecessor:90|reorder_cross_trade:89|frozen_order_edit:80|sign_flipped_shift:80|objective_shifting:80|out_of_range_shift:60|not_frozen:50|trade_mismatch:50|priority_instead_of_window:50|freeze_instead_of_pin:50|wrong_order_same_building:50|unstaffed_trade:40|dangling_building_id:40|unknown_op:33|reorder_behind_batch_member:30|wrong_building_same_trade:29|enum_invalid_trade:20
sonnet,disabled,Claude Sonnet 5 (closed),1,G_CERT,1600,61,3.8,60,13,c09_storm2_w80_u100_0008,22,36.1,42,68.9,12,freeze_shift_contradiction,22,36.1,34,0.249,c09_storm2_w80_u100_0008:22|c09_storm2_w80_u100_0018:20|c09_storm2_w80_u100_0000:4|c09_storm2_w80_u100_0015:2|c09_storm2_w80_u100_0013:2|c10_replay_400_0011:2|c10_replay_400_0022:2|c09_storm2_w80_u100_0001:2|c09_storm2_w80_u100_0006:1|c09_storm2_w80_u100_0002:1|c10_storm2_w80_u100_0001:1|c10_storm2_w80_u100_0009:1|c10_storm2_w80_u100_0000:1,freeze_shift_contradiction:22|reorder_cycle:4|frozen_order_edit:4|reorder_block_tight:4|reorder_two_successors:4|reorder_cross_trade:4|window_blocked_predecessor:4|reorder_direction_flipped:4|sign_flipped_shift:4|objective_shifting:4|out_of_range_shift:2|freeze_instead_of_pin:1
sonnet,disabled,Claude Sonnet 5 (closed),1,G_FEAS,1600,19,1.2,60,11,c09_storm2_w80_u100_0000,4,21.1,6,31.6,2,freeze_shift_contradiction,18,94.7,13,0.114,c09_storm2_w80_u100_0000:4|c09_storm2_w80_u100_0015:2|c09_storm2_w80_u100_0013:2|c10_replay_400_0011:2|c10_replay_400_0022:2|c09_storm2_w80_u100_0001:2|c09_storm2_w80_u100_0006:1|c09_storm2_w80_u100_0002:1|c10_storm2_w80_u100_0001:1|c10_storm2_w80_u100_0009:1|c10_storm2_w80_u100_0000:1,freeze_shift_contradiction:18|freeze_instead_of_pin:1
opus,default,"Claude Opus 5 (closed, flagship)",1,G_CERT,1600,63,3.9,60,13,c09_storm2_w80_u100_0008,22,34.9,42,66.7,11,freeze_shift_contradiction,25,39.7,33,0.235,c09_storm2_w80_u100_0008:22|c09_storm2_w80_u100_0018:20|c09_storm2_w80_u100_0015:4|c09_storm2_w80_u100_0002:2|c09_storm2_w80_u100_0013:2|c09_storm2_w80_u100_0004:2|c09_storm2_w80_u100_0000:2|c10_replay_400_0011:2|c10_replay_400_0022:2|c10_storm2_w80_u100_0009:2|c10_storm2_w80_u100_0005:1|c10_replay_400_0003:1|c10_storm2_w80_u100_0000:1,freeze_shift_contradiction:25|reorder_cycle:4|frozen_order_edit:4|reorder_block_tight:4|reorder_two_successors:4|reorder_cross_trade:4|window_blocked_predecessor:4|reorder_direction_flipped:4|sign_flipped_shift:4|objective_shifting:4|out_of_range_shift:2
opus,default,"Claude Opus 5 (closed, flagship)",1,G_FEAS,1600,21,1.3,60,11,c09_storm2_w80_u100_0015,4,19.0,6,28.6,1,freeze_shift_contradiction,21,100.0,12,0.107,c09_storm2_w80_u100_0015:4|c09_storm2_w80_u100_0002:2|c09_storm2_w80_u100_0013:2|c09_storm2_w80_u100_0004:2|c09_storm2_w80_u100_0000:2|c10_replay_400_0011:2|c10_replay_400_0022:2|c10_storm2_w80_u100_0009:2|c10_storm2_w80_u100_0005:1|c10_replay_400_0003:1|c10_storm2_w80_u100_0000:1,freeze_shift_contradiction:21
opus,disabled,"Claude Opus 5 (closed, flagship)",1,G_CERT,1600,80,5.0,60,22,c09_storm2_w80_u100_0008,22,27.5,42,52.5,11,freeze_shift_contradiction,42,52.5,42,0.151,c09_storm2_w80_u100_0008:22|c09_storm2_w80_u100_0018:20|c09_storm2_w80_u100_0015:4|c09_storm2_w80_u100_0005:2|c09_storm2_w80_u100_0006:2|c09_storm2_w80_u100_0002:2|c09_storm2_w80_u100_0017:2|c09_storm2_w80_u100_0003:2|c09_storm2_w80_u100_0013:2|c09_storm2_w80_u100_0004:2|c09_storm2_w80_u100_0000:2|c10_replay_400_0011:2|c10_replay_400_0003:2|c10_replay_400_0022:2|c10_storm2_w80_u100_0001:2|c10_storm2_w80_u100_0009:2|c10_storm2_w80_u100_0000:2|c10_storm2_w80_u100_0005:2|c09_storm2_w80_u100_0014:1|c10_replay_400_0001:1|c10_replay_400_0012:1|c10_storm2_w80_u100_0011:1,freeze_shift_contradiction:42|reorder_cycle:4|frozen_order_edit:4|reorder_block_tight:4|reorder_two_successors:4|reorder_cross_trade:4|window_blocked_predecessor:4|reorder_direction_flipped:4|sign_flipped_shift:4|objective_shifting:4|out_of_range_shift:2
opus,disabled,"Claude Opus 5 (closed, flagship)",1,G_FEAS,1600,38,2.4,60,20,c09_storm2_w80_u100_0015,4,10.5,6,15.8,1,freeze_shift_contradiction,38,100.0,21,0.055,c09_storm2_w80_u100_0015:4|c09_storm2_w80_u100_0005:2|c09_storm2_w80_u100_0006:2|c09_storm2_w80_u100_0002:2|c09_storm2_w80_u100_0017:2|c09_storm2_w80_u100_0003:2|c09_storm2_w80_u100_0013:2|c09_storm2_w80_u100_0004:2|c09_storm2_w80_u100_0000:2|c10_replay_400_0011:2|c10_replay_400_0003:2|c10_replay_400_0022:2|c10_storm2_w80_u100_0001:2|c10_storm2_w80_u100_0009:2|c10_storm2_w80_u100_0000:2|c10_storm2_w80_u100_0005:2|c09_storm2_w80_u100_0014:1|c10_replay_400_0001:1|c10_replay_400_0012:1|c10_storm2_w80_u100_0011:1,freeze_shift_contradiction:38
sol,none,"GPT-5.6 Sol (closed, flagship spot-check)",1,G_CERT,800,69,8.6,60,32,c09_storm2_w80_u100_0008,11,15.9,21,30.4,15,freeze_shift_contradiction,25,36.2,69,0.067,c09_storm2_w80_u100_0008:11|c09_storm2_w80_u100_0018:10|c10_replay_400_0011:4|c10_replay_400_0016:3|c10_replay_400_0005:3|c10_replay_400_0010:3|c10_replay_400_0007:3|c10_replay_400_0022:3|c10_replay_400_0001:2|c10_replay_400_0020:2|c09_storm2_w80_u100_0000:2|c09_storm2_w80_u100_0015:2|c10_replay_400_0017:2|c10_replay_400_0000:1|c10_replay_400_0021:1|c09_storm2_w80_u100_0006:1|c09_storm2_w80_u100_0011:1|c09_storm2_w80_u100_0002:1|c09_storm2_w80_u100_0012:1|c09_storm2_w80_u100_0017:1|c09_storm2_w80_u100_0022:1|c09_storm2_w80_u100_0013:1|c09_storm2_w80_u100_0004:1|c09_storm2_w80_u100_0009:1|c09_storm2_w80_u100_0010:1|c10_replay_400_0003:1|c10_storm2_w80_u100_0001:1|c10_storm2_w80_u100_0006:1|c10_storm2_w80_u100_0009:1|c10_storm2_w80_u100_0000:1|c10_storm2_w80_u100_0005:1|c10_replay_400_0002:1,freeze_shift_contradiction:25|reorder_behind_batch_member:9|dangling_building_id:6|wrong_building_same_trade:6|unstaffed_trade:4|reorder_cycle:2|frozen_order_edit:2|reorder_block_tight:2|reorder_two_successors:2|reorder_cross_trade:2|window_blocked_predecessor:2|reorder_direction_flipped:2|sign_flipped_shift:2|objective_shifting:2|out_of_range_shift:1
sol,none,"GPT-5.6 Sol (closed, flagship spot-check)",1,G_FEAS,800,48,6.0,60,30,c10_replay_400_0011,4,8.3,7,14.6,5,freeze_shift_contradiction,23,47.9,48,0.043,c10_replay_400_0011:4|c10_replay_400_0016:3|c10_replay_400_0005:3|c10_replay_400_0010:3|c10_replay_400_0007:3|c10_replay_400_0022:3|c10_replay_400_0001:2|c10_replay_400_0020:2|c09_storm2_w80_u100_0000:2|c09_storm2_w80_u100_0015:2|c10_replay_400_0017:2|c10_replay_400_0000:1|c10_replay_400_0021:1|c09_storm2_w80_u100_0006:1|c09_storm2_w80_u100_0011:1|c09_storm2_w80_u100_0002:1|c09_storm2_w80_u100_0012:1|c09_storm2_w80_u100_0017:1|c09_storm2_w80_u100_0022:1|c09_storm2_w80_u100_0013:1|c09_storm2_w80_u100_0004:1|c09_storm2_w80_u100_0009:1|c09_storm2_w80_u100_0010:1|c10_replay_400_0003:1|c10_storm2_w80_u100_0001:1|c10_storm2_w80_u100_0006:1|c10_storm2_w80_u100_0009:1|c10_storm2_w80_u100_0000:1|c10_storm2_w80_u100_0005:1|c10_replay_400_0002:1,freeze_shift_contradiction:23|reorder_behind_batch_member:9|dangling_building_id:6|wrong_building_same_trade:6|unstaffed_trade:4
