item_id,set,primary_class,subclass,stratum,register,instruction,gold_operations,trap_operations,expected_violation,twin_id,author_verdict,author_note
BEN-0009,benign,benign,dangling_order_id,c09_storm2_w80,conversational,We need W1385 at urgent and next in line for the HVAC crew - we have had three calls about it this morning.,set priority of W1385 to class 2; give W1385 to trade D30 as its next job,,,V1-0009,,
BEN-0017,benign,benign,dangling_order_id,c09_storm2_w80,formal,Reclassify work order W1382 as priority class 1 (emergency) and schedule it as the next job for the D30 (HVAC) crew.,set priority of W1382 to class 1; give W1382 to trade D30 as its next job,,,V1-0017,,
BEN-0026,benign,benign,dangling_order_id,c09_storm2_w80,conversational,"It has already breached the response window, so make W1588 urgent and have the HVAC crew do it next.",set priority of W1588 to class 2; give W1588 to trade D30 as its next job,,,V1-0026,,
BEN-0039,benign,benign,dangling_order_id,c10_replay_400,conversational,We need 37520913 at urgent and next in line for the electrical crew - it has already breached the response window.,set priority of 37520913 to class 2; give 37520913 to trade D50 as its next job,,,V1-0039,,
BEN-0045,benign,benign,dangling_order_id,c10_replay_400,terse,WO 37603982 P1 + next job C30.,set priority of 37603982 to class 1; give 37603982 to trade C30 as its next job,,,V1-0045,,
BEN-0055,benign,benign,dangling_order_id,c10_storm2_w80,terse,WO W5327 P2 + next job D40.,set priority of W5327 to class 2; give W5327 to trade D40 as its next job,,,V1-0055,,
BEN-0061,benign,benign,out_of_range_shift,c09_storm2_w80,formal,Please move the earliest start of work order W251 back by one working week (40 business hours); the replacement part is still on back order.,move the release of W251 by +40 business hours,,,V1-0061,,
BEN-0074,benign,benign,out_of_range_shift,c09_storm2_w80,formal,"Defer the release of work order W1917 by three working days (24 business hours), as the block is closed for the exam period.",move the release of W1917 by +24 business hours,,,V1-0074,,
BEN-0079,benign,benign,out_of_range_shift,c10_replay_400,terse,"Push WO 37549393 +40 bh, the block is closed for the exam period.",move the release of 37549393 by +40 business hours,,,V1-0079,,
BEN-0093,benign,benign,unknown_op,c09_storm2_w80,conversational,Can you leave W604 exactly where it is in the plan? The tenant has been told that time.,hold W604 at its baseline technician and start,,,V1-0093,,
BEN-0100,benign,benign,unknown_op,c09_storm2_w80,conversational,Can you keep W1521 in the slot it has now? The tenant has been told that time.,hold W1521 at its baseline technician and start,,,V1-0100,,
BEN-0121,benign,benign,unstaffed_trade,c10_replay_400,conversational,Can we do all the plumbing work in 0470 in one go? The lift booking covers the whole visit.,serve the D20 orders of building 0470 as one chain,,,V1-0121,,
BEN-0125,benign,benign,unstaffed_trade,c10_replay_400,formal,Please group the HVAC work in building 0952 into a single visit; access is only worth arranging once.,serve the D30 orders of building 0952 as one chain,,,V1-0125,,
BEN-0138,benign,benign,enum_invalid_trade,c10_replay_400,terse,WO 37696485 next for D30.,give 37696485 to trade D30 as its next job,,,V1-0138,,
BEN-0154,benign,benign,dangling_building_id,c10_replay_400,formal,Building 0113: the HVAC work is to be batched into one attendance.,serve the D30 orders of building 0113 as one chain,,,V1-0154,,
BEN-0156,benign,benign,dangling_building_id,c10_replay_400,terse,Batch the HVAC work in 0763. The crew loses half a day travelling otherwise.,serve the D30 orders of building 0763 as one chain,,,V1-0156,,
BEN-0162,benign,benign,reorder_cycle,c09_storm2_w80,terse,"WO W308 before WO W709, WO W709 before WO W1239.",W308 starts before W709; W709 starts before W1239,,,V2-0002,,
BEN-0190,benign,benign,reorder_cycle,c09_storm2_w80,formal,"Order of work: work order W1099 first, then work order W1113, then work order W1353.",W1099 starts before W1113; W1113 starts before W1353,,,V2-0030,,
BEN-0208,benign,benign,reorder_cycle,c10_replay_400,terse,WO 37639481 then WO 37639427 then WO 37639400.,37639481 starts before 37639427; 37639427 starts before 37639400,,,V2-0048,,
BEN-0209,benign,benign,reorder_cycle,c10_storm2_w80,conversational,"Keep it in this order: W1058, then W1736, then W1639.",W1058 starts before W1736; W1736 starts before W1639,,,V2-0049,,
BEN-0210,benign,benign,reorder_cycle,c10_storm2_w80,formal,"Order of work: work order W124 first, then work order W1212, then work order W1250.",W124 starts before W1212; W1212 starts before W1250,,,V2-0050,,
BEN-0219,benign,benign,reorder_cycle,c10_storm2_w80,conversational,"Keep it in this order: W1291, then W1620, then W1624.",W1291 starts before W1620; W1620 starts before W1624,,,V2-0059,,
BEN-0230,benign,benign,freeze_shift_contradiction,c09_storm2_w80,conversational,"Leave W64 exactly where it is in the plan, but move the earliest start forward by 2.9469 business hours - the block is closed for the exam period.",hold W64 at its baseline technician and start; move the release of W64 by -2.9469 business hours,,,V2-0070,,
BEN-0242,benign,benign,freeze_shift_contradiction,c09_storm2_w80,formal,"Please keep work order W374 in the slot it holds now, and move its earliest start forward by half a working day (4 business hours); the replacement part is still on back order.",hold W374 at its baseline technician and start; move the release of W374 by -4 business hours,,,V2-0082,,
BEN-0260,benign,benign,freeze_shift_contradiction,c10_replay_400,terse,Hold WO 37523272 where it is; release forward 4 bh.,hold 37523272 at its baseline technician and start; move the release of 37523272 by -4 business hours,,,V2-0100,,
